# z  H_LCDM[1/Mpc]  H_GREA[1/Mpc]  H_ratio-1  w_GREA
1.496125965e-01 2.504996289e-04 2.499368400e-04 -2.246665565e-03 -1.041967349e+00
1.505394714e-01 2.506159425e-04 2.500456010e-04 -2.275758904e-03 -1.042237266e+00
1.514670936e-01 2.507324835e-04 2.501545475e-04 -2.304990376e-03 -1.042506900e+00
1.523954637e-01 2.508492523e-04 2.502636800e-04 -2.334359132e-03 -1.042776250e+00
1.533245823e-01 2.509662493e-04 2.503729991e-04 -2.363864321e-03 -1.043045315e+00
1.542544499e-01 2.510834748e-04 2.504825052e-04 -2.393505093e-03 -1.043314092e+00
1.551850673e-01 2.512009292e-04 2.505921989e-04 -2.423280594e-03 -1.043582582e+00
1.561164350e-01 2.513186129e-04 2.507020806e-04 -2.453189973e-03 -1.043850782e+00
1.570485536e-01 2.514365263e-04 2.508121510e-04 -2.483232377e-03 -1.044118692e+00
1.579814238e-01 2.515546696e-04 2.509224104e-04 -2.513406952e-03 -1.044386310e+00
1.589150460e-01 2.516730434e-04 2.510328594e-04 -2.543712842e-03 -1.044653635e+00
1.598494210e-01 2.517916478e-04 2.511434985e-04 -2.574149195e-03 -1.044920665e+00
1.607845494e-01 2.519104834e-04 2.512543283e-04 -2.604715157e-03 -1.045187399e+00
1.617204317e-01 2.520295504e-04 2.513653492e-04 -2.635409871e-03 -1.045453836e+00
1.626570685e-01 2.521488493e-04 2.514765618e-04 -2.666232482e-03 -1.045719975e+00
1.635944605e-01 2.522683804e-04 2.515879666e-04 -2.697182133e-03 -1.045985815e+00
1.645326083e-01 2.523881440e-04 2.516995641e-04 -2.728257967e-03 -1.046251353e+00
1.654715124e-01 2.525081406e-04 2.518113547e-04 -2.759459128e-03 -1.046516589e+00
1.664111736e-01 2.526283706e-04 2.519233392e-04 -2.790784755e-03 -1.046781521e+00
1.673515923e-01 2.527488342e-04 2.520355178e-04 -2.822233993e-03 -1.047046149e+00
1.682927693e-01 2.528695318e-04 2.521478913e-04 -2.853805985e-03 -1.047310471e+00
1.692347051e-01 2.529904639e-04 2.522604600e-04 -2.885499870e-03 -1.047574485e+00
1.701774003e-01 2.531116308e-04 2.523732245e-04 -2.917314790e-03 -1.047838191e+00
1.711208555e-01 2.532330329e-04 2.524861854e-04 -2.949249886e-03 -1.048101586e+00
1.720650715e-01 2.533546705e-04 2.525993431e-04 -2.981304296e-03 -1.048364670e+00
1.730100487e-01 2.534765440e-04 2.527126982e-04 -3.013477163e-03 -1.048627442e+00
1.739557878e-01 2.535986537e-04 2.528262512e-04 -3.045767624e-03 -1.048889900e+00
1.749022893e-01 2.537210002e-04 2.529400026e-04 -3.078174820e-03 -1.049152042e+00
1.758495541e-01 2.538435836e-04 2.530539529e-04 -3.110697889e-03 -1.049413869e+00
1.767975825e-01 2.539664045e-04 2.531681028e-04 -3.143335970e-03 -1.049675377e+00
1.777463753e-01 2.540894631e-04 2.532824526e-04 -3.176088202e-03 -1.049936566e+00
1.786959330e-01 2.542127599e-04 2.533970029e-04 -3.208953723e-03 -1.050197435e+00
1.796462564e-01 2.543362952e-04 2.535117543e-04 -3.241931672e-03 -1.050457983e+00
1.805973459e-01 2.544600694e-04 2.536267073e-04 -3.275021185e-03 -1.050718207e+00
1.815492022e-01 2.545840829e-04 2.537418624e-04 -3.308221402e-03 -1.050978108e+00
1.825018260e-01 2.547083360e-04 2.538572201e-04 -3.341531460e-03 -1.051237683e+00
1.834552178e-01 2.548328292e-04 2.539727810e-04 -3.374950496e-03 -1.051496931e+00
1.844093783e-01 2.549575627e-04 2.540885456e-04 -3.408477647e-03 -1.051755851e+00
1.853643081e-01 2.550825370e-04 2.542045143e-04 -3.442112051e-03 -1.052014441e+00
1.863200079e-01 2.552077525e-04 2.543206879e-04 -3.475852846e-03 -1.052272701e+00
1.872764781e-01 2.553332095e-04 2.544370667e-04 -3.509699167e-03 -1.052530629e+00
1.882337195e-01 2.554589084e-04 2.545536514e-04 -3.543650152e-03 -1.052788224e+00
1.891917327e-01 2.555848495e-04 2.546704424e-04 -3.577704938e-03 -1.053045485e+00
1.901505182e-01 2.557110334e-04 2.547874403e-04 -3.611862663e-03 -1.053302409e+00
1.911100768e-01 2.558374603e-04 2.549046455e-04 -3.646122462e-03 -1.053558996e+00
1.920704090e-01 2.559641306e-04 2.550220588e-04 -3.680483472e-03 -1.053815245e+00
1.930315155e-01 2.560910446e-04 2.551396805e-04 -3.714944831e-03 -1.054071155e+00
1.939933969e-01 2.562182029e-04 2.552575113e-04 -3.749505675e-03 -1.054326723e+00
1.949560538e-01 2.563456057e-04 2.553755516e-04 -3.784165140e-03 -1.054581949e+00
1.959194869e-01 2.564732535e-04 2.554938020e-04 -3.818922364e-03 -1.054836832e+00
1.968836967e-01 2.566011465e-04 2.556122631e-04 -3.853776485e-03 -1.055091369e+00
1.978486839e-01 2.567292853e-04 2.557309353e-04 -3.888726639e-03 -1.055345561e+00
1.988144492e-01 2.568576701e-04 2.558498192e-04 -3.923771963e-03 -1.055599405e+00
1.997809930e-01 2.569863014e-04 2.559689154e-04 -3.958911592e-03 -1.055852901e+00
2.007483162e-01 2.571151796e-04 2.560882244e-04 -3.994144661e-03 -1.056106047e+00
2.017164192e-01 2.572443049e-04 2.562077467e-04 -4.029470313e-03 -1.056358841e+00
2.026853028e-01 2.573736779e-04 2.563274828e-04 -4.064887684e-03 -1.056611283e+00
2.036549676e-01 2.575032989e-04 2.564474334e-04 -4.100395910e-03 -1.056863371e+00
2.046254141e-01 2.576331682e-04 2.565675989e-04 -4.135994128e-03 -1.057115104e+00
2.055966431e-01 2.577632863e-04 2.566879799e-04 -4.171681476e-03 -1.057366480e+00
2.065686551e-01 2.578936535e-04 2.568085770e-04 -4.207457091e-03 -1.057617499e+00
2.075414508e-01 2.580242702e-04 2.569293907e-04 -4.243320109e-03 -1.057868159e+00
2.085150309e-01 2.581551369e-04 2.570504214e-04 -4.279269669e-03 -1.058118459e+00
2.094893958e-01 2.582862538e-04 2.571716699e-04 -4.315304909e-03 -1.058368397e+00
2.104645464e-01 2.584176214e-04 2.572931365e-04 -4.351424968e-03 -1.058617973e+00
2.114404832e-01 2.585492401e-04 2.574148220e-04 -4.387628986e-03 -1.058867184e+00
2.124172068e-01 2.586811102e-04 2.575367267e-04 -4.423916102e-03 -1.059116031e+00
2.133947179e-01 2.588132322e-04 2.576588513e-04 -4.460285456e-03 -1.059364510e+00
2.143730171e-01 2.589456064e-04 2.577811963e-04 -4.496736187e-03 -1.059612622e+00
2.153521051e-01 2.590782331e-04 2.579037622e-04 -4.533267437e-03 -1.059860365e+00
2.163319824e-01 2.592111129e-04 2.580265497e-04 -4.569878344e-03 -1.060107737e+00
2.173126498e-01 2.593442461e-04 2.581495592e-04 -4.606568051e-03 -1.060354737e+00
2.182941079e-01 2.594776330e-04 2.582727913e-04 -4.643335698e-03 -1.060601365e+00
2.192763572e-01 2.596112741e-04 2.583962465e-04 -4.680180428e-03 -1.060847618e+00
2.202593985e-01 2.597451698e-04 2.585199255e-04 -4.717101382e-03 -1.061093496e+00
2.212432324e-01 2.598793203e-04 2.586438286e-04 -4.754097703e-03 -1.061338997e+00
2.222278595e-01 2.600137262e-04 2.587679566e-04 -4.791168534e-03 -1.061584120e+00
2.232132804e-01 2.601483878e-04 2.588923100e-04 -4.828313017e-03 -1.061828864e+00
2.241994958e-01 2.602833056e-04 2.590168893e-04 -4.865530297e-03 -1.062073228e+00
2.251865064e-01 2.604184798e-04 2.591416950e-04 -4.902819518e-03 -1.062317209e+00
2.261743127e-01 2.605539109e-04 2.592667277e-04 -4.940179824e-03 -1.062560807e+00
2.271629155e-01 2.606895993e-04 2.593919880e-04 -4.977610360e-03 -1.062804022e+00
2.281523153e-01 2.608255453e-04 2.595174764e-04 -5.015110273e-03 -1.063046850e+00
2.291425129e-01 2.609617494e-04 2.596431935e-04 -5.052678708e-03 -1.063289292e+00
2.301335087e-01 2.610982120e-04 2.597691399e-04 -5.090314811e-03 -1.063531345e+00
2.311253036e-01 2.612349334e-04 2.598953160e-04 -5.128017729e-03 -1.063773009e+00
2.321178981e-01 2.613719140e-04 2.600217225e-04 -5.165786610e-03 -1.064014283e+00
2.331112929e-01 2.615091543e-04 2.601483599e-04 -5.203620604e-03 -1.064255164e+00
2.341054886e-01 2.616466546e-04 2.602752287e-04 -5.241518857e-03 -1.064495653e+00
2.351004859e-01 2.617844153e-04 2.604023296e-04 -5.279480516e-03 -1.064735747e+00
2.360962853e-01 2.619224368e-04 2.605296630e-04 -5.317504735e-03 -1.064975446e+00
2.370928877e-01 2.620607195e-04 2.606572296e-04 -5.355590663e-03 -1.065214747e+00
2.380902936e-01 2.621992639e-04 2.607850299e-04 -5.393737451e-03 -1.065453651e+00
2.390885036e-01 2.623380702e-04 2.609130644e-04 -5.431944249e-03 -1.065692155e+00
2.400875184e-01 2.624771389e-04 2.610413338e-04 -5.470210212e-03 -1.065930258e+00
2.410873387e-01 2.626164704e-04 2.611698385e-04 -5.508534488e-03 -1.066167960e+00
2.420879651e-01 2.627560651e-04 2.612985792e-04 -5.546916229e-03 -1.066405259e+00
2.430893982e-01 2.628959233e-04 2.614275564e-04 -5.585354592e-03 -1.066642153e+00
2.440916388e-01 2.630360456e-04 2.615567707e-04 -5.623848730e-03 -1.066878641e+00
2.450946874e-01 2.631764322e-04 2.616862225e-04 -5.662397802e-03 -1.067114723e+00
2.460985447e-01 2.633170836e-04 2.618159126e-04 -5.701000967e-03 -1.067350397e+00
2.471032114e-01 2.634580001e-04 2.619458415e-04 -5.739657382e-03 -1.067585661e+00
2.481086880e-01 2.635991822e-04 2.620760096e-04 -5.778366204e-03 -1.067820515e+00
2.491149754e-01 2.637406303e-04 2.622064177e-04 -5.817126594e-03 -1.068054958e+00
2.501220741e-01 2.638823448e-04 2.623370662e-04 -5.855937707e-03 -1.068288987e+00
